CDP Name,County[1],Population,,,
2010 Census[2],Land area[3],Latitude Longitude[4],,,
sqmi,km2,,,,
Swede Heaven,Snohomish,768,7.01,18.2,48°16′50″N 121°42′35″W
Taholah,Grays Harbor,840,3.46,9,47°19′34″N 124°16′23″W
Tampico,Yakima,312,3.88,10,46°31′56″N 120°52′30″W
Tanglewilde,Thurston,"5,892",1.44,3.7,47°03′04″N 122°46′51″W
Tanner,King,"1,018",3.85,10,47°28′36″N 121°40′58″W
Terrace Heights,Yakima,"6,937",8,20.7,46°36′10″N 120°26′57″W
Thorp,Kittitas,240,1.22,3.2,47°03′56″N 120°40′15″W
Three Lakes,Snohomish,"3,184",11.67,30.2,47°57′19″N 121°58′43″W
Tokeland,Pacific,151,0.51,1.3,46°42′32″N 123°59′00″W
Torboy,Ferry,49,0.93,2.4,48°40′09″N 118°40′08″W
Touchet,Walla Walla,421,1.22,3.2,46°02′28″N 118°40′21″W
Town and Country,Spokane,"4,857",1.2,3.1,47°43′41″N 117°25′23″W
Tracyton,Kitsap,"5,233",1.92,5,47°36′34″N 122°39′11″W
Trout Lake,Klickitat,557,6.94,18,45°59′52″N 121°31′44″W
Twin Lakes,Ferry,59,4.17,10.8,48°15′44″N 118°21′33″W
Union,Mason,631,1.62,4.2,47°20′51″N 123°05′43″W
Union Hill-Novelty Hill,King,"18,805",24.23,62.8,47°41′16″N 122°01′27″W
Upper Elochoman,Wahkiakum,193,1.45,3.8,46°14′25″N 123°19′28″W
Valley,Stevens,146,0.43,1.1,48°10′22″N 117°43′28″W
Vantage,Kittitas,74,0.33,0.85,46°56′43″N 119°59′32″W
Vashon,King,"10,624",36.92,95.6,47°24′40″N 122°27′18″W
Vaughn,Pierce,544,2.3,6,47°21′29″N 122°46′57″W
Venersborg,Clark,"3,745",10.83,28,45°47′10″N 122°28′19″W
Verlot,Snohomish,285,10.86,28.1,48°06′07″N 121°45′33″W
Walla Walla East,Walla Walla,"1,672",1.33,3.4,46°03′06″N 118°18′10″W
Waller,Pierce,"7,922",7.92,20.5,47°12′15″N 122°22′04″W
Wallula,Walla Walla,179,0.11,0.28,46°05′05″N 118°54′20″W
Walnut Grove,Clark,"9,790",3.83,9.9,45°40′36″N 122°36′24″W
Warm Beach,Snohomish,"2,437",4.07,10.5,48°09′54″N 122°20′52″W
Wauna,Pierce,"4,186",6.38,16.5,47°22′59″N 122°40′10″W
West Clarkston-Highland,Asotin,"5,261",2.81,7.3,46°24′08″N 117°03′48″W
West Pasco,Franklin,"3,739",2.77,7.2,46°15′08″N 119°11′03″W
West Side Highway,Cowlitz,"5,517",2.53,6.6,46°10′56″N 122°54′45″W
Whidbey Island Station,Island,"1,541",6.62,17.1,48°20′56″N 122°39′13″W
White Center,King,"13,495",2.26,5.9,47°30′33″N 122°20′53″W
White Swan,Yakima,793,2.67,6.9,46°22′37″N 120°44′17″W
Wilderness Rim,King,"1,523",0.62,1.6,47°26′49″N 121°46′07″W
Willapa,Pacific,210,0.28,0.73,46°40′32″N 123°39′53″W
Wishram,Klickitat,342,1.28,3.3,45°39′36″N 120°58′11″W
Wollochet,Pierce,"6,651",5.84,15.1,47°16′58″N 122°34′38″W
Woods Creek,Snohomish,"5,589",14.03,36.3,47°52′39″N 121°54′09″W
